,year_month,cargo,lag_1,lag_3,lag_6,lag_12,roll_mean_3,roll_mean_6,roll_mean_12,roll_std_6,exp_mean,exp_std,exp_min,exp_max
96,2008-01-01,16261925.0,19182748.0,20453838.0,16161367.0,16255888.0,20115754.666666668,19259055.0,18440756.916666668,1649098.593758196,21595478.729166668,3208429.200835147,14073391.0,29708539.0
97,2008-02-01,18500543.0,16261925.0,20710678.0,19121448.0,15115814.0,18718450.333333332,19275814.666666668,18441260.0,1611400.8087792208,21540493.63917526,3237291.2311121877,14073391.0,29708539.0
98,2008-03-01,24112364.0,18500543.0,19182748.0,19924251.0,18263217.0,17981738.666666668,19172330.5,18723320.75,1642925.8099820463,21509473.734693877,3235167.954583983,14073391.0,29708539.0
99,2008-04-01,24169469.0,24112364.0,16261925.0,20453838.0,18117040.0,19624944.0,19870349.333333332,19210749.666666668,2623402.023259095,21535765.555555556,3229233.2402635505,14073391.0,29708539.0
100,2008-05-01,23648383.0,24169469.0,18500543.0,20710678.0,20023235.0,22260792.0,20489621.166666668,19715118.75,3170242.140311398,21562102.59,3223659.1719881715,14073391.0,29708539.0
101,2008-06-01,22237129.0,23648383.0,24112364.0,19182748.0,17959559.0,23976738.666666668,20979238.666666668,20017214.416666668,3427615.338959534,21582758.83168317,3214211.1606022166,14073391.0,29708539.0
102,2008-07-01,25918520.0,22237129.0,24169469.0,16261925.0,16161367.0,23351660.333333332,21488302.166666668,20373678.583333332,3332949.746168785,21589174.225490198,3198915.875713134,14073391.0,29708539.0
103,2008-08-01,28812744.0,25918520.0,23648383.0,18500543.0,19121448.0,23934677.333333332,23097734.666666668,21186774.666666668,2542162.2286008843,21631206.708737865,3211652.5012412374,14073391.0,29708539.0
104,2008-09-01,28765001.0,28812744.0,22237129.0,24112364.0,19924251.0,25656131.0,24816434.833333332,21994382.666666668,2285455.0035055303,21700259.951923076,3272686.5717398017,14073391.0,29708539.0
105,2008-10-01,27274088.0,28765001.0,25918520.0,24169469.0,20453838.0,27832088.333333332,25591874.333333332,22731111.833333332,2742412.9299022313,21767543.2,3329088.578244493,14073391.0,29708539.0
106,2008-11-01,28744841.0,27274088.0,28812744.0,23648383.0,20710678.0,28283944.333333332,26109310.833333332,23299466.0,2713090.7131648255,21819491.735849056,3356089.52988224,14073391.0,29708539.0
107,2008-12-01,27606999.0,28744841.0,28765001.0,22237129.0,19182748.0,28261310.0,26958720.5,23968979.583333332,2583221.974855457,21884214.626168225,3406656.3750751764,14073391.0,29708539.0
108,2009-01-01,17315124.0,27606999.0,27274088.0,25918520.0,16261925.0,27875309.333333332,27853698.833333332,24671000.5,1156382.3134892543,21937203.37037037,3435125.9068507515,14073391.0,29708539.0
109,2009-02-01,16600333.0,17315124.0,28744841.0,28812744.0,18500543.0,24555654.666666668,26419799.5,24758767.083333332,4509242.483760144,21894798.972477064,3447727.7148983264,14073391.0,29708539.0
110,2009-03-01,22654111.0,16600333.0,27606999.0,28765001.0,24112364.0,20507485.333333332,24384397.666666668,24600416.25,5788003.353704261,21846667.463636365,3468804.344246599,14073391.0,29708539.0
111,2009-04-01,15084453.0,22654111.0,17315124.0,27274088.0,24169469.0,18856522.666666668,23365916.0,24478895.166666668,5386748.389618281,21853941.72972973,3453851.449113348,14073391.0,29708539.0
112,2009-05-01,17718130.0,15084453.0,16600333.0,28744841.0,23648383.0,18112965.666666668,21334310.166666668,23721810.5,5892869.904076567,21793499.86607143,3497253.3607976492,14073391.0,29708539.0
113,2009-06-01,16596699.0,17718130.0,22654111.0,27606999.0,22237129.0,18485564.666666668,19496525.0,23227622.75,4722830.600073355,21757434.6460177,3502649.965129747,14073391.0,29708539.0
114,2009-07-01,25457745.0,16596699.0,15084453.0,17315124.0,25918520.0,16466427.333333334,17661475.0,22757586.916666668,2605778.029516195,21712165.03508772,3520455.9327037153,14073391.0,29708539.0
115,2009-08-01,25517500.0,25457745.0,17718130.0,16600333.0,28812744.0,19924191.333333332,19018578.5,22719189.0,4088077.3753678347,21744735.295652173,3522341.3537823264,14073391.0,29708539.0
116,2009-09-01,26225455.0,25517500.0,16596699.0,22654111.0,28765001.0,22523981.333333332,20504773.0,22444585.333333332,4619465.509101288,21777259.129310343,3524444.2677258197,14073391.0,29708539.0
117,2009-10-01,28401458.0,26225455.0,25457745.0,15084453.0,27274088.0,25733566.666666668,21099997.0,22232956.5,5151273.76470531,21815277.897435896,3533233.4538265755,14073391.0,29708539.0
118,2009-11-01,28176173.0,28401458.0,25517500.0,17718130.0,28744841.0,26714804.333333332,23319497.833333332,22326904.0,4903989.527278512,21871092.98305085,3569964.73717755,14073391.0,29708539.0
119,2009-12-01,38659072.0,28176173.0,26225455.0,16596699.0,27606999.0,27601028.666666668,25062505.0,22279515.0,4341177.1350681735,21924076.848739497,3601487.2266934114,14073391.0,29708539.0
120,2010-01-01,20693695.0,38659072.0,28401458.0,25457745.0,17315124.0,31745567.666666668,28739567.166666668,23200521.083333332,5025955.44112476,22063535.141666666,3898146.551234207,14073391.0,38659072.0
121,2010-02-01,20360178.0,20693695.0,28176173.0,25517500.0,16600333.0,29176313.333333332,27945558.833333332,23482068.666666668,5941113.486025292,22052214.14876033,3883867.2648493373,14073391.0,38659072.0
122,2010-03-01,26952615.0,20360178.0,38659072.0,26225455.0,22654111.0,26570981.666666668,27086005.166666668,23795389.083333332,6688702.189848942,22038345.0,3870817.402458079,14073391.0,38659072.0
123,2010-04-01,25370284.0,26952615.0,20693695.0,28401458.0,15084453.0,22668829.333333332,27207198.5,24153597.75,6676568.045416699,22078298.414634146,3880303.58233271,14073391.0,38659072.0
124,2010-05-01,28679330.0,25370284.0,20360178.0,28176173.0,17718130.0,24227692.333333332,26702002.833333332,25010750.333333332,6682805.810176653,22104846.68548387,3875788.9218192594,14073391.0,38659072.0
125,2010-06-01,26082359.0,28679330.0,26952615.0,38659072.0,16596699.0,27000743.0,26785862.333333332,25924183.666666668,6708113.267260186,22157442.552,3904662.2582096225,14073391.0,38659072.0
126,2010-07-01,28850857.0,26082359.0,25370284.0,20693695.0,25457745.0,26710657.666666668,24689743.5,26714655.333333332,3410379.515614562,22188592.682539683,3904699.4649516526,14073391.0,38659072.0
127,2010-08-01,29220109.0,28850857.0,28679330.0,20360178.0,25517500.0,27870848.666666668,26049270.5,26997414.666666668,3111591.945155177,22241051.45669291,3933848.8469337197,14073391.0,38659072.0
128,2010-09-01,33558341.0,29220109.0,26082359.0,26952615.0,26225455.0,28051108.333333332,27525925.666666668,27305965.416666668,1613406.4954523093,22295575.34375,3966590.5245034965,14073391.0,38659072.0
129,2010-10-01,35378575.0,33558341.0,28850857.0,25370284.0,28401458.0,30543102.333333332,28626880.0,27917039.25,2891509.971162022,22382883.604651164,4073604.330740255,14073391.0,38659072.0
130,2010-11-01,36211343.0,35378575.0,29220109.0,28679330.0,28176173.0,32719008.333333332,30294928.5,28498465.666666668,3466693.0248391535,22482850.46153846,4214825.387961638,14073391.0,38659072.0
131,2010-12-01,37480104.0,36211343.0,33558341.0,26082359.0,38659072.0,35049419.666666664,31550264.0,29168063.166666668,4075006.7818247485,22587648.114503816,4366556.412236413,14073391.0,38659072.0
132,2011-01-01,26660283.0,37480104.0,35378575.0,28850857.0,20693695.0,36356674.0,33449888.166666668,29069815.833333332,3650807.7694849656,22700469.75,4538882.894000062,14073391.0,38659072.0
