,year_month,cargo,lag_1,lag_3,lag_6,lag_12,roll_mean_3,roll_mean_6,roll_mean_12,roll_std_6,exp_mean,exp_std,exp_min,exp_max
96,2008-01-01,8879003.0,9083532.0,11753610.0,11192605.0,5912479.0,10405708.0,10891761.166666666,8938208.25,1071708.4998073701,13429570.625,3631049.4968436444,5912479.0,21342520.0
97,2008-02-01,9358577.0,8879003.0,10379982.0,12065484.0,6163845.0,9447505.666666666,10506160.833333334,9185418.583333334,1327505.801556047,13382657.55670103,3641519.2960695694,5912479.0,21342520.0
98,2008-03-01,7011651.0,9358577.0,9083532.0,10875354.0,6172974.0,9107037.333333334,10055009.666666666,9451646.25,1138032.8581496503,13341595.510204082,3645434.391512869,5912479.0,21342520.0
99,2008-04-01,7507680.0,7011651.0,8879003.0,11753610.0,7209370.0,8416410.333333334,9411059.166666666,9521536.0,1585977.7804990085,13277656.676767677,3682162.0240717283,5912479.0,21342520.0
100,2008-05-01,7722554.0,7507680.0,9358577.0,10379982.0,8264572.0,7959302.666666667,8703404.166666666,9546395.166666666,1241554.0143209882,13219956.91,3708677.7672532103,5912479.0,21342520.0
101,2008-06-01,7126935.0,7722554.0,7011651.0,9083532.0,8184692.0,7413961.666666667,8260499.5,9501227.0,967620.6289737179,13165527.178217823,3730411.51073108,5912479.0,21342520.0
102,2008-07-01,5951957.0,7126935.0,7507680.0,8879003.0,11192605.0,7452389.666666667,7934400.0,9413080.583333334,964467.6339079469,13106325.294117646,3759745.2296771174,5912479.0,21342520.0
103,2008-08-01,6855564.0,5951957.0,7722554.0,9358577.0,12065484.0,6933815.333333333,7446559.0,8976359.916666666,1119005.0453178454,13036865.40776699,3807103.9730432834,5912479.0,21342520.0
104,2008-09-01,6487704.0,6855564.0,7126935.0,7011651.0,10875354.0,6644818.666666667,7029390.166666667,8542199.916666666,618084.8973898006,12977429.817307692,3836757.891653458,5912479.0,21342520.0
105,2008-10-01,6975726.0,6487704.0,5951957.0,7507680.0,11753610.0,6431741.666666667,6942065.666666667,8176562.416666667,656886.6747361074,12915622.904761905,3870436.1170259384,5912479.0,21342520.0
106,2008-11-01,6478235.0,6975726.0,6855564.0,7722554.0,10379982.0,6772998.0,6853406.666666667,7778405.416666667,598590.2524283708,12859586.141509434,3894927.3471852387,5912479.0,21342520.0
107,2008-12-01,5731717.0,6478235.0,6487704.0,7126935.0,9083532.0,6647221.666666667,6646020.166666667,7453259.833333333,428680.1095564858,12799947.345794393,3925292.0399448066,5912479.0,21342520.0
108,2009-01-01,7968552.0,5731717.0,6975726.0,5951957.0,8879003.0,6395226.0,6413483.833333333,7173941.916666667,489707.15889862267,12734500.768518519,3965666.3818944655,5731717.0,21342520.0
109,2009-02-01,7529397.0,7968552.0,6478235.0,6855564.0,9358577.0,6726168.0,6749583.0,7098071.0,738446.9640362762,12690776.467889909,3973572.925876121,5731717.0,21342520.0
110,2009-03-01,8497346.0,7529397.0,5731717.0,6487704.0,7011651.0,7076555.333333333,6861888.5,6945639.333333333,805943.2168242955,12643854.836363636,3985800.5904096873,5731717.0,21342520.0
111,2009-04-01,7270948.0,8497346.0,7968552.0,6975726.0,7507680.0,7998431.666666667,7196828.833333333,7069447.25,1010872.8284636793,12606498.9009009,3987114.1655259747,5731717.0,21342520.0
112,2009-05-01,5863896.0,7270948.0,7529397.0,6478235.0,7722554.0,7765897.0,7246032.5,7049719.583333333,1005126.9133506934,12558860.05357143,4001005.1152770156,5731717.0,21342520.0
113,2009-06-01,5812247.0,5863896.0,8497346.0,5731717.0,7126935.0,7210730.0,7143642.666666667,6894831.416666667,1123324.2448656838,12499612.584070796,4032588.8291789675,5731717.0,21342520.0
114,2009-07-01,4866675.0,5812247.0,7270948.0,7968552.0,5951957.0,6315697.0,7157064.333333333,6785274.083333333,1103384.455366786,12440951.48245614,4063268.56172072,5731717.0,21342520.0
115,2009-08-01,4789907.0,4866675.0,5863896.0,7529397.0,6855564.0,5514272.666666667,6640084.833333333,6694833.916666667,1346926.1691940506,12375088.208695652,4106603.4822776564,4866675.0,21342520.0
116,2009-09-01,4283185.0,4789907.0,5812247.0,8497346.0,6487704.0,5156276.333333333,6183503.166666667,6522695.833333333,1445858.3264939068,12309698.715517242,4148920.1205054433,4789907.0,21342520.0
117,2009-10-01,5257290.0,4283185.0,4866675.0,7270948.0,6975726.0,4646589.0,5481143.0,6338985.916666667,1072381.756310128,12241096.034188034,4197116.386109111,4283185.0,21342520.0
118,2009-11-01,4812296.0,5257290.0,4789907.0,5863896.0,6478235.0,4776794.0,5145533.333333333,6195782.916666667,619825.5066964099,12181911.237288136,4228304.486093373,4283185.0,21342520.0
119,2009-12-01,6628234.0,4812296.0,4283185.0,5812247.0,5731717.0,4784257.0,4970266.666666667,6056954.666666667,516063.96242274187,12119981.697478991,4264204.790688852,4283185.0,21342520.0
120,2010-01-01,3885654.0,6628234.0,5257290.0,4866675.0,7968552.0,5565940.0,5106264.5,6131664.416666667,807534.8164889824,12074217.133333333,4275741.795164606,4283185.0,21342520.0
121,2010-02-01,4416610.0,3885654.0,4812296.0,4789907.0,7529397.0,5108728.0,4942761.0,5791422.916666667,952118.5741635306,12006543.05785124,4322472.857751863,3885654.0,21342520.0
122,2010-03-01,5055775.0,4416610.0,6628234.0,4283185.0,8497346.0,4976832.666666667,4880544.833333333,5532024.0,976001.4669510293,11944330.49180328,4359076.677700902,3885654.0,21342520.0
123,2010-04-01,5393933.0,5055775.0,3885654.0,5257290.0,7270948.0,4452679.666666667,5009309.833333333,5245226.416666667,931373.0302014125,11888325.975609757,4385383.5971412845,3885654.0,21342520.0
124,2010-05-01,5178609.0,5393933.0,4416610.0,4812296.0,5863896.0,4955439.333333333,5032083.666666667,5088808.5,940277.3568794801,11835951.838709677,4406287.908927268,3885654.0,21342520.0
125,2010-06-01,4484561.0,5178609.0,5055775.0,6628234.0,5812247.0,5209439.0,5093135.833333333,5031701.25,935030.0949020631,11782693.096,4428697.241393483,3885654.0,21342520.0
126,2010-07-01,4234247.0,4484561.0,5393933.0,3885654.0,4866675.0,5019034.333333333,4735857.0,4921060.75,569096.5383549561,11724771.412698412,4458606.5623506745,3885654.0,21342520.0
127,2010-08-01,2795326.0,4234247.0,5178609.0,4416610.0,4789907.0,4632472.333333333,4793955.833333333,4868358.416666667,474946.09254541795,11665790.905511811,4490344.774808446,3885654.0,21342520.0
128,2010-09-01,11742494.0,2795326.0,4484561.0,5055775.0,4283185.0,3838044.6666666665,4523741.833333333,4702143.333333333,953090.4104124435,11596490.3984375,4540832.367331269,2795326.0,21342520.0
129,2010-10-01,12521852.0,11742494.0,4234247.0,5393933.0,5257290.0,6257355.666666667,5638195.0,5323752.416666667,3127848.9426844767,11597622.209302325,4523078.228396621,2795326.0,21342520.0
130,2010-11-01,13838613.0,12521852.0,2795326.0,5178609.0,4812296.0,9019890.666666666,6826181.5,5929132.583333333,4189854.2520038458,11604731.669230768,4506241.943459669,2795326.0,21342520.0
131,2010-12-01,12362797.0,13838613.0,11742494.0,4484561.0,6628234.0,12700986.333333334,8269515.5,6681325.666666667,4934264.189345227,11621784.198473282,4493117.861206111,2795326.0,21342520.0
132,2011-01-01,8574081.0,12362797.0,12521852.0,4234247.0,3885654.0,12907754.0,9582554.833333334,7159205.916666667,4771151.94847456,11627397.931818182,4476400.369429696,2795326.0,21342520.0
133,2011-02-01,11132473.0,8574081.0,13838613.0,2795326.0,4416610.0,11591830.333333334,10305860.5,7549908.166666667,4076592.9609170845,11604440.661654135,4467264.469972681,2795326.0,21342520.0
134,2011-03-01,12255389.0,11132473.0,12362797.0,11742494.0,5055775.0,10689783.666666666,11695385.0,8109563.416666667,1776712.727362425,11600918.514925374,4450625.312686466,2795326.0,21342520.0
135,2011-04-01,14207930.0,12255389.0,8574081.0,12521852.0,5393933.0,10653981.0,11780867.5,8709531.25,1791707.6911793195,11605766.444444444,4434345.173200114,2795326.0,21342520.0
136,2011-05-01,14149961.0,14207930.0,11132473.0,13838613.0,5178609.0,12531930.666666666,12061880.5,9444031.0,2045426.4477515512,11624900.0,4423522.444211717,2795326.0,21342520.0
137,2011-06-01,13770756.0,14149961.0,12255389.0,12362797.0,4484561.0,13537760.0,12113771.833333334,10191643.666666666,2102664.609531486,11643331.102189781,4412506.2517423155,2795326.0,21342520.0
138,2011-07-01,13602455.0,13770756.0,14207930.0,8574081.0,4234247.0,14042882.333333334,12348431.666666666,10965493.25,2211749.7087849462,11658747.224637682,4400101.104843316,2795326.0,21342520.0
139,2011-08-01,11827943.0,13602455.0,14149961.0,11132473.0,2795326.0,13841057.333333334,13186494.0,11746177.25,1230605.1023635608,11672730.73381295,4387228.428739753,2795326.0,21342520.0
140,2011-09-01,13294120.0,11827943.0,13770756.0,12255389.0,11742494.0,13067051.333333334,13302405.666666666,12498895.333333334,1011730.2065431756,11673839.392857144,4371438.227210521,2795326.0,21342520.0
141,2011-10-01,16531312.0,13294120.0,13602455.0,14207930.0,12521852.0,12908172.666666666,13475527.5,12628197.5,876582.8872495346,11685330.744680852,4357934.73551529,2795326.0,21342520.0
142,2011-11-01,16602812.0,16531312.0,11827943.0,14149961.0,13838613.0,13884458.333333334,13862757.833333334,12962319.166666666,1532560.5562722136,11719457.373239437,4361453.8856973555,2795326.0,21342520.0
143,2011-12-01,13623770.0,16602812.0,13294120.0,13770756.0,12362797.0,15476081.333333334,14271566.333333334,13192669.083333334,1906115.1136538147,11753606.706293706,4365212.890838971,2795326.0,21342520.0
144,2012-01-01,11322332.0,13623770.0,16531312.0,13602455.0,8574081.0,15585964.666666666,14247068.666666666,13297750.166666666,1914763.819272313,11766593.951388888,4352714.040534529,2795326.0,21342520.0
145,2012-02-01,11464487.0,11322332.0,16602812.0,11827943.0,11132473.0,13849638.0,13867048.166666666,13526771.083333334,2262903.7419007015,11763530.075862069,4337731.020654877,2795326.0,21342520.0
146,2012-03-01,11742739.0,11464487.0,13623770.0,13294120.0,12255389.0,12136863.0,13806472.166666666,13554438.916666666,2332209.2656420427,11761481.835616438,4322818.296002312,2795326.0,21342520.0
147,2012-04-01,11505025.0,11742739.0,11322332.0,16531312.0,14207930.0,11509852.666666666,13547908.666666666,13511718.083333334,2481586.57447414,11761354.333333334,4307988.964321666,2795326.0,21342520.0
148,2012-05-01,10145597.0,11505025.0,11464487.0,16602812.0,14149961.0,11570750.333333334,12710194.166666666,13286476.0,2090619.255540281,11759622.378378378,4293362.637710805,2795326.0,21342520.0
149,2012-06-01,10452070.0,10145597.0,11742739.0,13623770.0,13770756.0,11131120.333333334,11633991.666666666,12952779.0,1125065.1948248611,11748789.993288592,4280876.012897514,2795326.0,21342520.0
150,2012-07-01,12117017.0,10452070.0,11505025.0,11322332.0,13602455.0,10700897.333333334,11105375.0,12676221.833333334,646523.9348544164,11740145.193333333,4267799.984660101,2795326.0,21342520.0
151,2012-08-01,11930046.0,12117017.0,10145597.0,11464487.0,11827943.0,10904894.666666666,11237822.5,12552435.333333334,769553.2660544929,11742641.033112584,4253660.761742104,2795326.0,21342520.0
152,2012-09-01,13962697.0,11930046.0,10452070.0,11742739.0,13294120.0,11499711.0,11315415.666666666,12560943.916666666,818869.1626612298,11743873.960526315,4239579.645352643,2795326.0,21342520.0
153,2012-10-01,14955078.0,13962697.0,12117017.0,11505025.0,16531312.0,12669920.0,11685408.666666666,12616658.666666666,1367980.8356916052,11758376.071895424,4229416.384574444,2795326.0,21342520.0
154,2012-11-01,14594238.0,14955078.0,11930046.0,10145597.0,16602812.0,13615940.333333334,12260417.5,12485305.833333334,1899012.6995767914,11779133.876623377,4223435.17506237,2795326.0,21342520.0
155,2012-12-01,17086929.0,14594238.0,13962697.0,10452070.0,13623770.0,14504004.333333334,13001857.666666666,12317924.666666666,1772405.0000092804,11797295.838709677,4215768.635635531,2795326.0,21342520.0
156,2013-01-01,15329593.0,17086929.0,14955078.0,12117017.0,11322332.0,15545415.0,14107667.5,12606521.25,1926478.4321993142,11831203.743589744,4223434.970870017,2795326.0,21342520.0
157,2013-02-01,14730049.0,15329593.0,14594238.0,11930046.0,11464487.0,15670253.333333334,14643096.833333334,12940459.666666666,1695104.7659117107,11853486.477707006,4219124.826807596,2795326.0,21342520.0
158,2013-03-01,18081129.0,14730049.0,17086929.0,13962697.0,11742739.0,15715523.666666666,15109764.0,13212589.833333334,1068377.0144899366,11871692.569620254,4211888.294950942,2795326.0,21342520.0
159,2013-04-01,16667696.0,18081129.0,15329593.0,14955078.0,11505025.0,16046923.666666666,15796169.333333334,13740789.0,1441768.4138874381,11910745.628930818,4227318.535228646,2795326.0,21342520.0
160,2013-05-01,15620089.0,16667696.0,14730049.0,14594238.0,10145597.0,16492958.0,16081605.666666666,14171011.583333334,1411152.8261531068,11940476.56875,4230751.620004441,2795326.0,21342520.0
161,2013-06-01,14547049.0,15620089.0,18081129.0,17086929.0,10452070.0,16789638.0,16252580.833333334,14627219.25,1247565.7502404437,11963331.304347826,4227467.973734435,2795326.0,21342520.0
162,2013-07-01,14174463.0,14547049.0,16667696.0,15329593.0,12117017.0,15611611.333333334,15829267.5,14968467.5,1335637.556232354,11979280.179012345,4219204.882831798,2795326.0,21342520.0
163,2013-08-01,14005846.0,14174463.0,15620089.0,14730049.0,11930046.0,14780533.666666666,15636745.833333334,15139921.333333334,1495724.1846373286,11992747.558282208,4209675.3115397375,2795326.0,21342520.0
164,2013-09-01,14639547.0,14005846.0,14547049.0,18081129.0,13962697.0,14242452.666666666,15516045.333333334,15312904.666666666,1608494.8018028226,12005022.548780488,4199685.339953362,2795326.0,21342520.0
165,2013-10-01,15774558.0,14639547.0,14174463.0,16667696.0,14955078.0,14273285.333333334,14942448.333333334,15369308.833333334,1014967.1559233346,12020989.363636363,4191882.2811817722,2795326.0,21342520.0
166,2013-11-01,15827046.0,15774558.0,14005846.0,15620089.0,14594238.0,14806650.333333334,14793592.0,15437598.833333334,739428.07306677,12043601.222891565,4189302.56730093,2795326.0,21342520.0
167,2013-12-01,16525444.0,15827046.0,14639547.0,14547049.0,17086929.0,15413717.0,14828084.833333334,15540332.833333334,788867.6342701629,12066256.580838323,4186913.763424562,2795326.0,21342520.0
168,2014-01-01,13356302.0,16525444.0,15774558.0,14174463.0,15329593.0,16042349.333333334,15157817.333333334,15493542.416666666,1025793.9942997836,12092799.363095239,4188512.213777785,2795326.0,21342520.0
169,2014-02-01,12587204.0,13356302.0,15827046.0,14005846.0,14730049.0,15236264.0,15021457.166666666,15329101.5,1218866.175979711,12100275.710059172,4177158.6698195934,2795326.0,21342520.0
170,2014-03-01,16330162.0,12587204.0,16525444.0,14639547.0,18081129.0,14156316.666666666,14785016.833333334,15150531.083333334,1548345.6994447343,12103139.994117647,4164949.312673975,2795326.0,21342520.0
171,2014-04-01,16163107.0,16330162.0,13356302.0,15774558.0,16667696.0,14091222.666666666,15066786.0,15004617.166666666,1665942.4335134863,12127859.421052631,4165243.3689322714,2795326.0,21342520.0
172,2014-05-01,15699550.0,16163107.0,12587204.0,15827046.0,15620089.0,15026824.333333334,15131544.166666666,14962568.083333334,1706026.8326764982,12151320.162790697,4164428.485136037,2795326.0,21342520.0
173,2014-06-01,13226112.0,15699550.0,16330162.0,16525444.0,14547049.0,16064273.0,15110294.833333334,14969189.833333334,1696398.3253109523,12171830.161849711,4161058.8214817625,2795326.0,21342520.0
174,2014-07-01,13330024.0,13226112.0,16163107.0,13356302.0,14174463.0,15029589.666666666,14560406.166666666,14859111.75,1680599.232519699,12177889.252873564,4149784.959208606,2795326.0,21342520.0
175,2014-08-01,15381912.0,13330024.0,15699550.0,12587204.0,14005846.0,14085228.666666666,14556026.5,14788741.833333334,1684394.6832447362,12184472.88,4138759.5733043193,2795326.0,21342520.0
176,2014-09-01,14397634.0,15381912.0,13226112.0,16330162.0,14639547.0,13979349.333333334,15021811.166666666,14903414.0,1392122.1162749357,12202640.147727273,4133949.4007347296,2795326.0,21342520.0
177,2014-10-01,16922251.0,14397634.0,13330024.0,16163107.0,15774558.0,14369856.666666666,14699723.166666666,14883254.583333334,1244619.707938856,12215041.242937854,4125488.8594998494,2795326.0,21342520.0
178,2014-11-01,17528884.0,16922251.0,15381912.0,15699550.0,15827046.0,15567265.666666666,14826247.166666666,14978895.666666666,1445508.8292897432,12241486.241573034,4128920.467108537,2795326.0,21342520.0
179,2014-12-01,17136393.0,17528884.0,14397634.0,13226112.0,16525444.0,16282923.0,15131136.166666666,15120715.5,1812805.7302440892,12271024.776536312,4136229.0815417627,2795326.0,21342520.0
180,2015-01-01,15982764.0,17136393.0,16922251.0,13330024.0,13356302.0,17195842.666666668,15782849.666666666,15171627.916666666,1689667.307701818,12298054.6,4140570.4263690724,2795326.0,21342520.0
181,2015-02-01,12551642.0,15982764.0,17528884.0,15381912.0,12587204.0,16882680.333333332,16224973.0,15390499.75,1193788.238501974,12318412.110497238,4138126.233525417,2795326.0,21342520.0
182,2015-03-01,17470846.0,12551642.0,17136393.0,14397634.0,16330162.0,15223599.666666666,15753261.333333334,15387536.25,1927339.5756301768,12319693.593406593,4126715.3257416314,2795326.0,21342520.0
183,2015-04-01,15211277.0,17470846.0,15982764.0,16922251.0,16163107.0,15335084.0,16265463.333333334,15482593.25,1903231.7508078495,12347841.967213115,4132941.534405486,2795326.0,21342520.0
184,2015-05-01,15539170.0,15211277.0,12551642.0,17528884.0,15699550.0,15077921.666666666,15980301.0,15403274.083333334,1913295.0078126595,12363404.114130436,4127036.103728432,2795326.0,21342520.0
185,2015-06-01,15056664.0,15539170.0,17470846.0,17136393.0,13226112.0,16073764.333333334,15648682.0,15389909.083333334,1757279.1024143104,12380570.416216217,4122423.5129322903,2795326.0,21342520.0
186,2015-07-01,15866457.0,15056664.0,15211277.0,15982764.0,13330024.0,15269037.0,15302060.5,15542455.083333334,1603525.5985571123,12394958.016129032,4115946.6340019554,2795326.0,21342520.0
187,2015-08-01,34056.0,15866457.0,15539170.0,12551642.0,15381912.0,15487430.333333334,15282676.0,15753824.5,1594327.6531126357,12413522.181818182,4112709.7443613256,2795326.0,21342520.0
188,2015-09-01,14728199.0,34056.0,15056664.0,17470846.0,14397634.0,10319059.0,13196411.666666666,14474836.5,6506247.387110478,12347673.957446808,4199892.387960486,34056.0,21342520.0
189,2015-10-01,16628083.0,14728199.0,15866457.0,15211277.0,16922251.0,10209570.666666666,12739303.833333334,14502383.583333334,6236636.488496393,12360269.328042328,4192285.1389753036,34056.0,21342520.0
190,2015-11-01,18528449.0,16628083.0,34056.0,15539170.0,17528884.0,10463446.0,12975438.166666666,14477869.583333334,6374253.979538799,12382731.505263157,4192627.8523118743,34056.0,21342520.0
191,2015-12-01,17510133.0,18528449.0,14728199.0,15056664.0,17136393.0,16628243.666666666,13473651.333333334,14561166.666666666,6722045.510461256,12414908.036649214,4205158.70271999,34056.0,21342520.0
192,2016-01-01,16726994.0,17510133.0,16628083.0,15866457.0,15982764.0,17555555.0,13882562.833333334,14592311.666666666,6909609.000183398,12441445.666666666,4210224.682227466,34056.0,21342520.0
193,2016-02-01,49079.0,16726994.0,18528449.0,34056.0,12551642.0,17588525.333333332,14025985.666666666,14654330.833333334,6967711.4552730955,12463650.580310881,4210561.6289456,34056.0,21342520.0
194,2016-03-01,15977426.0,49079.0,17510133.0,14728199.0,17470846.0,11428735.333333334,14028489.5,13612450.583333334,6961677.975551522,12399657.94329897,4293181.941769067,34056.0,21342520.0
195,2016-04-01,16036784.0,15977426.0,16726994.0,16628083.0,15211277.0,10917833.0,14236694.0,13487998.916666666,7005333.205353136,12418005.471794872,4289760.729033019,34056.0,21342520.0
196,2016-05-01,14980259.0,16036784.0,49079.0,18528449.0,15539170.0,10687763.0,14138144.166666666,13556791.166666666,6969028.294260184,12436468.627551021,4286547.761497136,34056.0,21342520.0
197,2016-06-01,13600604.0,14980259.0,15977426.0,17510133.0,15056664.0,15664823.0,13546779.166666666,13510215.25,6665926.526966451,12449381.269035533,4279438.205885848,34056.0,21342520.0
198,2016-07-01,14038974.0,13600604.0,16036784.0,16726994.0,15866457.0,14872549.0,12895191.0,13388876.916666666,6386238.376155719,12455195.525252525,4269346.843398409,34056.0,21342520.0
199,2016-08-01,13342383.0,14038974.0,14980259.0,49079.0,34056.0,14206612.333333334,12447187.666666666,13236586.666666666,6153722.229441844,12463154.211055277,4260031.699448911,34056.0,21342520.0
200,2016-09-01,14603346.0,13342383.0,13600604.0,15977426.0,14728199.0,13660653.666666666,14662738.333333334,14345613.916666666,1181336.02506464,12467550.355,4249769.401931049,34056.0,21342520.0
201,2016-10-01,17016824.0,14603346.0,14038974.0,16036784.0,16628083.0,13994901.0,14433725.0,14335209.5,993802.3111146674,12478176.2039801,4241807.623138698,34056.0,21342520.0
202,2016-11-01,17664345.0,17016824.0,13342383.0,14980259.0,18528449.0,14987517.666666666,14597065.0,14367604.583333334,1332721.8554975588,12500644.757425742,4243276.05608046,34056.0,21342520.0
203,2016-12-01,18724624.0,17664345.0,14603346.0,13600604.0,17510133.0,16428171.666666666,15044412.666666666,14295595.916666666,1840727.414265113,12526081.704433497,4248247.268594857,34056.0,21342520.0
204,2017-01-01,15890521.0,18724624.0,17016824.0,14038974.0,16726994.0,17801931.0,15898416.0,14396803.5,2192023.2161235143,12556466.715686275,4259934.644464732,34056.0,21342520.0
205,2017-02-01,16611541.0,15890521.0,17664345.0,13342383.0,49079.0,17426496.666666668,16207007.166666666,14327097.416666666,1999799.7715229006,12572730.39512195,4255856.091459913,34056.0,21342520.0
206,2017-03-01,18879314.0,16611541.0,18724624.0,14603346.0,15977426.0,17075562.0,16751866.833333334,15707302.583333334,1426347.734517447,12592336.27184466,4254778.814122926,34056.0,21342520.0
207,2017-04-01,15105842.0,18879314.0,15890521.0,17016824.0,16036784.0,17127125.333333332,17464528.166666668,15949126.583333334,1186162.8824352347,12622708.144927537,4266873.6462392835,34056.0,21342520.0
208,2017-05-01,18469798.0,15105842.0,16611541.0,17664345.0,14980259.0,16865565.666666668,17146031.166666668,15871548.083333334,1535528.0066645022,12634646.288461538,4260035.447339494,34056.0,21342520.0
