,year_month,passengers,lag_1,lag_3,lag_6,lag_12,roll_mean_3,roll_mean_6,roll_mean_12,roll_std_6,exp_mean,exp_std,exp_min,exp_max
96,2008-01-01,468968,412477.0,350468.0,403574.0,339707.0,370535.0,363952.8333333333,346335.8333333333,35404.430374837415,416184.5625,68592.49041186154,253080.0,589624.0
97,2008-02-01,443856,468968.0,348660.0,343351.0,296983.0,410035.0,374851.8333333333,357107.5833333333,54795.96267396628,416728.72164948453,68444.44934804525,253080.0,589624.0
98,2008-03-01,473181,443856.0,412477.0,325187.0,331584.0,441767.0,391602.6666666667,369347.0,58478.573237269564,417005.5306122449,68145.84679438503,253080.0,589624.0
99,2008-04-01,425615,473181.0,468968.0,350468.0,348481.0,462001.6666666667,416268.3333333333,381146.75,56022.014703745626,417572.9595959596,68031.94642718832,253080.0,589624.0
100,2008-05-01,437111,425615.0,443856.0,348660.0,329109.0,447550.6666666667,428792.8333333333,387574.5833333333,45845.0179776024,417653.38,67692.25592188176,253080.0,589624.0
101,2008-06-01,418926,437111.0,473181.0,412477.0,326449.0,445302.3333333333,443534.6666666667,396574.75,23886.47895916603,417846.0297029703,67380.7658118332,253080.0,589624.0
102,2008-07-01,505112,418926.0,425615.0,468968.0,403574.0,427217.3333333333,444609.5,404281.1666666667,22301.99812348693,417856.6176470588,67046.45316185663,253080.0,589624.0
103,2008-08-01,552618,505112.0,437111.0,443856.0,343351.0,453716.3333333333,450633.5,412742.6666666667,32669.190775102023,418703.7572815534,67268.6667217282,253080.0,589624.0
104,2008-09-01,497506,552618.0,418926.0,473181.0,325187.0,492218.6666666667,468760.5,430181.5833333333,52382.73587643166,419991.39423076925,68217.10706870863,253080.0,589624.0
105,2008-10-01,500723,497506.0,505112.0,425615.0,350468.0,518412.0,472814.6666666667,444541.5,53717.595693279734,420729.6285714286,68308.50415412548,253080.0,589624.0
106,2008-11-01,466354,500723.0,552618.0,437111.0,348660.0,516949.0,485332.6666666667,457062.75,49068.859834590214,421484.28301886795,68424.99912525076,253080.0,589624.0
107,2008-12-01,492761,466354.0,497506.0,418926.0,412477.0,488194.3333333333,490206.5,466870.5833333333,44567.028555872916,421903.6261682243,68239.48040769187,253080.0,589624.0
108,2009-01-01,552966,492761.0,500723.0,505112.0,468968.0,486612.6666666667,502512.3333333333,473560.9166666667,28100.230452198306,422559.712962963,68261.22909836625,253080.0,589624.0
109,2009-02-01,483208,552966.0,466354.0,552618.0,443856.0,504027.0,510488.0,480560.75,34943.55854231196,423756.1009174312,69083.04790022054,253080.0,589624.0
110,2009-03-01,490084,483208.0,492761.0,497506.0,473181.0,509645.0,498919.6666666667,483840.0833333333,29228.632883983046,424296.57272727275,68998.66286464791,253080.0,589624.0
111,2009-04-01,510904,490084.0,552966.0,500723.0,425615.0,508752.6666666667,497682.6666666667,485248.6666666667,29456.593283451086,424889.25225225225,68967.57352230084,253080.0,589624.0
112,2009-05-01,469908,510904.0,483208.0,466354.0,437111.0,494732.0,499379.5,492356.0833333333,29955.764078053297,425657.2410714286,69135.61292664702,253080.0,589624.0
113,2009-06-01,530146,469908.0,490084.0,492761.0,418926.0,490298.6666666667,499971.8333333333,495089.1666666667,29197.66948519444,426048.8407079646,68952.05122823789,253080.0,589624.0
114,2009-07-01,485793,530146.0,510904.0,552966.0,505112.0,503652.6666666667,506202.6666666667,504357.5,31266.80037782332,426961.9736842105,69335.16936348406,253080.0,589624.0
115,2009-08-01,468529,485793.0,469908.0,483208.0,552618.0,495282.3333333333,495007.1666666667,502747.5833333333,21752.121077418087,427473.5478260869,69248.04883757584,253080.0,589624.0
116,2009-09-01,495240,468529.0,530146.0,490084.0,497506.0,494822.6666666667,492560.6666666667,495740.1666666667,24048.844709604182,427827.474137931,69051.60880781237,253080.0,589624.0
117,2009-10-01,550946,495240.0,485793.0,510904.0,500723.0,483187.3333333333,493420.0,495551.3333333333,24034.76185028656,428403.64957264956,69035.21997681206,253080.0,589624.0
118,2009-11-01,526906,550946.0,468529.0,469908.0,466354.0,504905.0,500093.6666666667,499736.5833333333,33540.04277079347,429442.1440677966,69659.07904776293,253080.0,589624.0
119,2009-12-01,559693,526906.0,495240.0,530146.0,492761.0,524364.0,509593.3333333333,504782.5833333333,31275.98788634267,430261.1680672269,69936.3325078566,253080.0,589624.0
120,2010-01-01,453790,559693.0,550946.0,485793.0,552966.0,545848.3333333334,514517.8333333333,510360.25,36967.54626110113,431339.76666666666,70637.05823132323,253080.0,589624.0
121,2010-02-01,379711,453790.0,526906.0,468529.0,483208.0,513463.0,509184.0,502095.5833333333,43646.4257551519,431525.30578512396,70371.72331351598,253080.0,589624.0
