,year_month,passengers,lag_1,lag_3,lag_6,lag_12,roll_mean_3,roll_mean_6,roll_mean_12,roll_std_6,exp_mean,exp_std,exp_min,exp_max
96,2008-01-01,4111527,3853064.0,3261641.0,3955423.0,3989260.0,3544391.6666666665,3683011.1666666665,3821790.75,271795.4717734851,3024861.6979166665,546774.8644430329,2109035.0,4275973.0
97,2008-02-01,4060498,4111527.0,3518470.0,3594543.0,3344750.0,3827687.0,3709028.5,3831979.6666666665,308129.8736109578,3036064.432989691,554997.4599415953,2109035.0,4275973.0
98,2008-03-01,4396453,4060498.0,3853064.0,3914926.0,3738048.0,4008363.0,3786687.6666666665,3891625.3333333335,331348.24513594754,3046517.836734694,561743.2792923996,2109035.0,4275973.0
99,2008-04-01,4607122,4396453.0,4111527.0,3261641.0,4275973.0,4189492.6666666665,3866942.1666666665,3946492.4166666665,416096.69086664513,3060153.5454545454,575102.4954778071,2109035.0,4396453.0
100,2008-05-01,4933469,4607122.0,4060498.0,3518470.0,4266889.0,4354691.0,4091189.0,3974088.1666666665,386118.92222371994,3075623.23,592733.6308356333,2109035.0,4607122.0
101,2008-06-01,4553935,4933469.0,4396453.0,3853064.0,4148502.0,4645681.333333333,4327022.166666667,4029636.5,398287.3236584051,3094017.7425742573,618056.6259896036,2109035.0,4933469.0
102,2008-07-01,4622581,4553935.0,4607122.0,4111527.0,3955423.0,4698175.333333333,4443834.0,4063422.5833333335,328069.20753891114,3108330.656862745,631749.5902346068,2109035.0,4933469.0
103,2008-08-01,4188977,4622581.0,4933469.0,4060498.0,3594543.0,4703328.333333333,4529009.666666667,4119019.0833333335,288492.7060718804,3123032.1165048545,646108.6719763061,2109035.0,4933469.0
104,2008-09-01,3960442,4188977.0,4553935.0,4396453.0,3914926.0,4455164.333333333,4550422.833333333,4168555.25,248800.36078787452,3133281.5865384615,651405.2588298592,2109035.0,4933469.0
105,2008-10-01,4010455,3960442.0,4622581.0,4607122.0,3261641.0,4257333.333333333,4477754.333333333,4172348.25,347043.08274661825,3141159.3047619048,653272.4264582547,2109035.0,4933469.0
106,2008-11-01,4126591,4010455.0,4188977.0,4933469.0,3518470.0,4053291.3333333335,4378309.833333333,4234749.416666667,385873.5359375861,3149360.2075471696,655613.7928618196,2109035.0,4933469.0
107,2008-12-01,4548279,4126591.0,3960442.0,4553935.0,3853064.0,4032496.0,4243830.166666667,4285426.166666667,279694.0882195668,3158493.2056074766,659317.4482408062,2109035.0,4933469.0
108,2009-01-01,4852004,4548279.0,4010455.0,4622581.0,4111527.0,4228441.666666667,4242887.5,4343360.75,278446.6439602176,3171361.592592593,669717.2439595294,2109035.0,4933469.0
109,2009-02-01,3881842,4852004.0,4126591.0,4188977.0,4060498.0,4508958.0,4281124.666666667,4405067.166666667,348064.91888881166,3186780.330275229,685770.8052421745,2109035.0,4933469.0
110,2009-03-01,4376056,3881842.0,4548279.0,3960442.0,4396453.0,4427375.0,4229935.5,4390179.166666667,384956.9870854511,3193099.0727272728,685827.2398604474,2109035.0,4933469.0
111,2009-04-01,4501608,4376056.0,4852004.0,4010455.0,4607122.0,4369967.333333333,4299204.5,4388479.416666667,363564.2164299293,3203756.3423423423,691874.3404085675,2109035.0,4933469.0
112,2009-05-01,4549205,4501608.0,3881842.0,4126591.0,4933469.0,4253168.666666667,4381063.333333333,4379686.583333333,340082.4573056886,3215344.3035714286,699583.471900345,2109035.0,4933469.0
113,2009-06-01,5253694,4549205.0,4376056.0,4548279.0,4553935.0,4475623.0,4451499.0,4347664.583333333,320008.9816364679,3227148.3805309734,707666.753155942,2109035.0,4933469.0
